,2015/10/12 00:18:01
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,1502,Mumin谷??
2,1501,Dizzy?
3,1500,トムソン??
4,1485,☆☆ながれ星彡
5,1405,上位目指す隊?
6,1399,ばよえ?ん。
7,1371,Ra?ffine
8,1330,さんらいず??
9,1299,まるむすてぃ?ん
10,1267,†とわいらいと†
11,1232,嵐山
12,1199,早乙女学園?
13,1199,さんせっと??
14,1182,えすぽらーず
15,1169,カーバンクル
16,1148,★愉快な仲間達☆
17,1148,tipo
18,1148,谷口ぴーまん
19,1134,?いちごぷよ隊?
20,1123,ぴんぽーん
21,1116,たいようのほこら
22,1116,赤い妖精
23,1107,RedbuII?
24,1105,?Ｃlair?
25,1104,かおりワールド
26,1101,淡麗生!!
27,1099,一生を寝てい隊
28,1099,V.I.P.
29,1099,だらゴロ・囚・
30,1099,自由都市ももにち
31,1099,ねこたらんど
32,1093,かもみ～るかふぇ
33,1089,賢者モード
34,1087,?怪盗スケルトン
35,1072,ももピーチ帝国
36,1068,にゃ?んだふる♪
37,1066,ねこずき
38,1058,ぷよクエ楽しみ隊
39,1058,☆命蓮寺☆
40,1057,いえろ～こんび♪
41,1057,無課金こそ愉悦!
42,1051,かわいいはせいぎ
43,1049,やわらかギルド
44,1049,†魔導学校†
45,1048,ＢＢ団
46,1048,プリンシパル☆彡
47,1047,チームかわいい
48,1046,LovE?
49,1037,Luxillia
50,1036,Antenna
51,1032,★エーミール★
52,1026,ねこぽよ軍??
53,1017,とれっきんぐ
54,1016,陽だまりのねこ?
55,1015,MYM318☆彡
56,1012,ぷよろう会
57,1012,からあげ流星群
58,1011,手製ぷよ
59,1010,にないか
60,1006,同じ穴のぷよら～
61,1002,パンダ百匹！！
62,1001,ぷよビ～ッチ☆
63,999,ぼっち同盟
64,995,ちょびぎるど
65,992,Lαvｉn&#039;υ?
66,987,チームかつをぶし
67,983,無KG板ギルド
68,978,ブルーウィング
69,970,お笑い?研究府
70,969,ひろす
71,961,Buzz?
72,959,果物の缶詰
73,959,うさぎの巣?
74,955,ぷよっとパニック
75,951,コンパイルクラブ
76,949,みなみけ
77,944,Ｋ２
78,939,AGILE
79,935,BestLuck
80,935,let&#039;sぷよ！
81,932,みなとみらい
82,930,トウーンタウン
83,928,2chスレギルド
84,928,Blackチョコ
85,927,北の大地☆人情派
86,921,ジュビレーション
87,919,TEREON&#039;s
88,912,Law@
89,911,ミッドガルド?
90,909,ぐみぷよ
91,909,猫好き仙人界
92,908,佐久間上水
93,904,ラフィ亭
94,901,早起は三文のとく
95,900,ギルド一ナツ
96,899,☆ネコカフェ☆
97,897,Gunners!
98,895,SPIRAL★彡
99,895,???☆
100,894,ファンタビーチ
101,891,?アンシェル?
102,891,ぁひるたいちょ組
103,882,遊戯都市第七地区
104,879,六猫?おーき軍
105,873,コスモツリー
106,862,まったり勢。
107,862,ぷよく鉛筆?HB
108,860,パーミテーション
109,859,will
