,2015/10/07 17:00:05
pickUpTU
トム, ,
,,
,,
Mu, ,
,,
,,
星, ,
,,
,,
Ra, ,
,,
,,
上位, ,
,,
,,
Diz, ,
,,
,,
ばよ, ,
,,
,,
嵐山, ,
,,
,,
さんらいず, ,
,,
,,
とわいらいと, ,
,,
,,
pickUpRank
ranking
1,223,Dizzy?
2,222,Mumin谷??
3,207,トムソン??
4,201,さんせっと??
5,199,Ra?ffine
6,199,☆☆ながれ星彡
7,189,さんらいず??
8,179,上位目指す隊?
9,172,?いちごぷよ隊?
10,169,ばよえ?ん。
11,165,Lαvｉn&#039;υ?
12,161,†とわいらいと†
13,160,tipo
14,160,早乙女学園?
15,155,嵐山
16,155,えすぽらーず
17,154,?Ｃlair?
18,150,淡麗生!!
19,150,まるむすてぃ?ん
20,149,★愉快な仲間達☆
21,149,谷口ぴーまん
22,146,RedbuII?
23,145,たいようのほこら
24,145,カーバンクル
25,144,かおりワールド
26,144,みなみけ
27,141,V.I.P.
28,141,かもみ～るかふぇ
29,141,LovE?
30,140,いえろ～こんび♪
31,139,ぷよクエ楽しみ隊
32,139,ねこのうにメロン
33,139,ＢＢ団
34,139,赤い妖精
35,139,お笑い?研究省
36,139,★エーミール★
37,138,Antenna
38,138,ぴんぽーん
39,138,?怪盗スケルトン
40,137,陽だまりのねこ?
41,136,にゃ?んだふる♪
42,136,同じ穴のぷよら～
43,135,一生を寝てい隊
44,135,賢者モード
45,135,MYM318☆彡
46,134,ぷよろう会
47,134,Luxillia
48,134,やわらかギルド
49,134,ねこたらんど
50,134,だらゴロ・囚・
51,133,からあげ流星群
52,131,†魔導学校†
53,130,無課金こそ愉悦!
54,130,お腹@ばよ?支店
55,130,ぷよビ～ッチ☆
56,129,チームかつをぶし
57,129,早起は三文のとく
58,129,自由都市ももにち
59,129,Law@
60,129,コンパイルクラブ
61,129,まったりにゃーん
62,128,ギルド一ナツ
63,128,ラフィ亭
64,128,コスモツリー
65,128,トウーンタウン
66,128,しろくまっ☆
67,128,ねこずき
68,127,ももピーチ帝国
69,127,ぁひるたいちょ組
70,126,猫好き仙人界
71,126,ぷよっとパニック
72,126,プリンシパル☆彡
73,125,果物の缶詰
74,125,あおいの御紋
75,125,チームかわいい
76,124,☆命蓮寺☆
77,124,とれっきんぐ
78,124,無KG板ギルド
79,123,AGILE
80,122,ちょびぎるど
81,122,Blackチョコ
82,121,ぷよよん同盟
83,121,チームやどかり
84,121,Ｋ２
85,120,六猫?おーき軍
86,120,let&#039;sぷよ！
87,119,K・o・B
88,119,Gunners!
89,119,?月蝕雑技団?
90,119,ミッドガルド?
91,119,ねこぽよ軍??
92,119,Buzz?
93,119,みなとみらい
94,119,パンダ百匹！！
95,119,?水守革命?
96,119,ぐみぷよ
97,119,北の大地☆人情派
98,118,エランド
99,118,SPIRAL★彡
100,117,LxStella
101,117,ぷよよよよよん?
102,117,will
103,116,Tぷよ軍団
104,115,TEREON&#039;s
105,115,遊戯都市第七地区
106,115,ぼっち同盟
107,115,ブルーウィング
108,114,うさぎの巣?
109,114,にないか
110,114,オワニモ時空転移
111,114,???☆
112,114,かわいいはせいぎ
113,113,Sirius?
114,112,ファンタビーチ
